rowNo,action,legacySku,canonicalSku,name,brand,productType,flavor,measureKind,sellUnit,netQuantity,netUnit,packageQuantity,packageUnit,sourceRow,targetParentKey,imageTracePolicy,status
1,UPDATE_EXISTING,BGKQ-0015,BERDAU,BERINO DÂU,Berino,sinh-to,dau,mass,chai,1350,g,12,thùng,20,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
2,UPDATE_EXISTING,BGKQ-0016,BERDAO,BERINO ĐÀO,Berino,sinh-to,dao,mass,chai,1350,g,12,thùng,21,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
3,UPDATE_EXISTING,BGKQ-0017,BEROIH,BERINO ỔI,Berino,sinh-to,oi,mass,chai,1350,g,12,thùng,22,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
4,UPDATE_EXISTING,BGKQ-0018,BERVQU,BERINO VIỆT QUỐC,Berino,sinh-to,viet-quoc,mass,chai,1350,g,12,thùng,23,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
5,UPDATE_EXISTING,BGKQ-0019,BERCDA,BERINO CHANH DÂY,Berino,sinh-to,chanh-day,mass,chai,1350,g,12,thùng,24,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
6,UPDATE_EXISTING,BGKQ-0020,BERVAI,BERINO VẢI,Berino,sinh-to,vai,mass,chai,1350,g,12,thùng,25,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
7,REMAP,BGKQ-0021,BERKWI,BERINO KIWI,Berino,sinh-to,kiwi,mass,chai,1350,g,12,thùng,26,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
8,UPDATE_EXISTING,BGKQ-0022,BERPBT,BERINO PHÚC BỒN TỬ,Berino,sinh-to,phuc-bon-tu,mass,chai,1350,g,12,thùng,27,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
9,UPDATE_EXISTING,BGKQ-0023,BERXOA,BERINO XOÀI,Berino,sinh-to,xoai,mass,chai,1350,g,12,thùng,28,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
10,UPDATE_EXISTING,BGKQ-0024,BERNHO,BERINO NHO,Berino,sinh-to,nho,mass,chai,1350,g,12,thùng,29,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
11,UPDATE_EXISTING,BGKQ-0025,BERDTM,BERINO DÂU TẰM,Berino,sinh-to,dau-tam,mass,chai,1350,g,12,thùng,30,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
12,UPDATE_EXISTING,BGKQ-0026,BERTHM,BERINO THƠM,Berino,sinh-to,thom,mass,chai,1350,g,12,thùng,31,sinh-to-berino,KEEP_LEGACY_ALIAS_FOR_LATER_IMAGE_RENAME,READY
13,UPDATE_EXISTING,,BERMCA,BERINO MÃNG CẦU,Berino,sinh-to,mang-cau,mass,chai,1350,g,12,thùng,42,sinh-to-berino,CANONICAL_CREATED_PREVIOUSLY,READY
