rowNo,action,legacySku,canonicalSku,name,detailGroup,type,sellUnit,netQuantity,netUnit,packageQuantity,packageUnit,sourceRow,sourceMatchStatus,reviewDecision
1,REMAP,BGKQ-0001,TORDLU,Siro Torani Dưa Lưới,Torani,dua-luoi,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
2,CREATE_NEW,,TORVQU,Siro Torani Việt Quốc,Torani,viet-quoc,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
3,CREATE_NEW,,TORVAI,Siro Torani Vải,Torani,vai,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
4,CREATE_NEW,,TORTAO,Siro Torani Táo,Torani,tao,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
5,CREATE_NEW,,TOROIH,Siro Torani Ổi,Torani,oi,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
6,CREATE_NEW,,TORNHA,Siro Torani Nhãn,Torani,nhan,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
7,CREATE_NEW,,TORMJT,Siro Torani Mojito,Torani,mojito,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
8,CREATE_NEW,,TORLUU,Siro Torani Lựu,Torani,luu,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
9,CREATE_NEW,,TORHDE,Siro Torani Hạt Dẻ,Torani,hat-de,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
10,CREATE_NEW,,TORDAO,Siro Torani Đào,Torani,dao,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
11,CREATE_NEW,,TORDAU,Siro Torani Dâu,Torani,dau,chai,1500,g,12,thùng,4,KHỚP NHÓM - NHIỀU SKU CÙNG GIÁ,SPLIT_CATALOG_FIRST
