sku,name,sourceGroup,sourceRow,status,category,sellUnit,sourcePack,outerPack,unitPrice,warning,nextAction,resolution
PIXVQU,SIRO PIXIE VIỆT QUỐC,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,62000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
PIXPUN,SIRO PIXIE BLUE PUNCH,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,62000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
PIXBLU,SIRO PIXIE BLUE CURACAO,Siro Thái PIXE,5,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 kg / CHAI,12 CHAI / THÙNG,62000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng hoặc dung tích thật của 1 chai Pixie; không dùng 0 kg.,
SRG2VC,SIRO GOLD 2L VỎ CAM,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2VQ,SIRO GOLD 2L VIỆT QUỐC,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2VA,SIRO GOLD 2L VẢI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2DO,SIRO GOLD 2L ĐÀO,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2DL,SIRO GOLD 2L DƯA LƯỚI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2DA,SIRO GOLD 2L DÂU,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2CH,SIRO GOLD 2L CHANH,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
