product_key,sku,parent_key,variant_key,options_json,source_row
siro-gold-2l-bgkq-0004,BGKQ-0004,siro-mama-gold,siro-mama-gold--2l,"{""size"": ""2L""}",7
siro-gold-700ml-bgkq-0005,BGKQ-0005,siro-mama-gold,siro-mama-gold--700ml,"{""size"": ""700ML""}",8
siro-gtp-bgkq-0006,BGKQ-0006,siro-gtp,siro-gtp--khac,"{""flavor_or_type"": ""khac""}",9
siro-gtp-dau-duong-den-bgkq-0007,BGKQ-0007,siro-gtp,siro-gtp--dau-duong-den,"{""flavor_or_type"": ""dau duong den""}",10
siro-vina-bgkq-0008,BGKQ-0008,siro-vina,siro-vina--khac,"{""flavor"": ""khac""}",11
siro-sam-dua-vina-bgkq-0009,BGKQ-0009,siro-vina,siro-vina--sam-dua,"{""flavor"": ""sam-dua""}",12
sinh-to-berrino-dau-bgkq-0015,BGKQ-0015,sinh-to-berrino,sinh-to-berrino--dau,"{""flavor"": ""dau""}",19
sinh-to-berrino-dao-bgkq-0016,BGKQ-0016,sinh-to-berrino,sinh-to-berrino--dao,"{""flavor"": ""dao""}",20
sinh-to-berrino-oi-bgkq-0017,BGKQ-0017,sinh-to-berrino,sinh-to-berrino--oi,"{""flavor"": ""oi""}",21
sinh-to-berrino-viet-quoc-bgkq-0018,BGKQ-0018,sinh-to-berrino,sinh-to-berrino--viet-quoc,"{""flavor"": ""viet quoc""}",22
sinh-to-berrino-chanh-day-bgkq-0019,BGKQ-0019,sinh-to-berrino,sinh-to-berrino--chanh-day,"{""flavor"": ""chanh day""}",23
sinh-to-berrino-vai-bgkq-0020,BGKQ-0020,sinh-to-berrino,sinh-to-berrino--vai,"{""flavor"": ""vai""}",24
sinh-to-berrino-kiwi-bgkq-0021,BGKQ-0021,sinh-to-berrino,sinh-to-berrino--kiwi,"{""flavor"": ""kiwi""}",25
sinh-to-berrino-phuc-bon-tu-bgkq-0022,BGKQ-0022,sinh-to-berrino,sinh-to-berrino--phuc-bon-tu,"{""flavor"": ""phuc bon tu""}",26
sinh-to-berrino-xoai-bgkq-0023,BGKQ-0023,sinh-to-berrino,sinh-to-berrino--xoai,"{""flavor"": ""xoai""}",27
sinh-to-berrino-nho-bgkq-0024,BGKQ-0024,sinh-to-berrino,sinh-to-berrino--nho,"{""flavor"": ""nho""}",28
sinh-to-berrino-dau-tam-bgkq-0025,BGKQ-0025,sinh-to-berrino,sinh-to-berrino--dau-tam,"{""flavor"": ""dau tam""}",29
sinh-to-berino-khom-bgkq-0026,BGKQ-0026,sinh-to-berrino,sinh-to-berrino--khom,"{""flavor"": ""khom""}",30
sinh-to-gold-dau-bgkq-0027,BGKQ-0027,sinh-to-mama-gold,sinh-to-mama-gold--dau,"{""flavor"": ""dau""}",32
sinh-to-gold-dao-bgkq-0028,BGKQ-0028,sinh-to-mama-gold,sinh-to-mama-gold--dao,"{""flavor"": ""dao""}",33
