"product_key","image_key","filename","r2_object_key","image_role","quality_status","mapping_status"
"siro-torani-bgkq-0001","bgkq-0001","bgkq-0001-siro-torani-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0001.webp","card","LOW_RES","exact"
"siro-thai-pixe-bgkq-0002","bgkq-0002","bgkq-0002-siro-thai-pixe-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0002.webp","card","OK","exact"
"siro-thai-dingfong-bgkq-0003","bgkq-0003","bgkq-0003-siro-thai-dingfong-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0003.webp","card","OK","exact"
"siro-gold-2l-bgkq-0004","bgkq-0004","bgkq-0004-siro-gold-2l-thung-4-binh.webp","catalog/hung-phat/v2/products/bgkq-0004.webp","card","LOW_RES","exact"
"siro-gold-700ml-bgkq-0005","bgkq-0005","bgkq-0005-siro-gold-700ml-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0005.webp","card","OK","exact"
"siro-gtp-bgkq-0006","bgkq-0006","bgkq-0006-siro-gtp-thung-6-binh.webp","catalog/hung-phat/v2/products/bgkq-0006.webp","card","OK","exact"
"siro-gtp-dau-duong-den-bgkq-0007","bgkq-0007","bgkq-0007-siro-gtp-dau-duong-den-thung-6chai.webp","catalog/hung-phat/v2/products/bgkq-0007.webp","card","OK","exact"
"siro-vina-bgkq-0008","bgkq-0008","bgkq-0008-siro-vina-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0008.webp","card","LOW_RES","exact"
"siro-sam-dua-vina-bgkq-0009","bgkq-0009","bgkq-0009-siro-sam-dua-vina-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0009.webp","card","LOW_RES","exact"
"siro-carisa-bgkq-0010","bgkq-0010","bgkq-0010-siro-carisa-thung-24-chai.webp","catalog/hung-phat/v2/products/bgkq-0010.webp","card","OK","exact"
"siro-changthai-bgkq-0011","bgkq-0011","bgkq-0011-siro-changthai-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0011.webp","card","OK","exact"
"siro-douxian-2l-tron-bgkq-0012","bgkq-0012","bgkq-0012-siro-douxian-2l-tron-thung-6-chai.webp","catalog/hung-phat/v2/products/bgkq-0012.webp","card","OK","exact"
"siro-dd-hoang-kim-bgkq-0013","bgkq-0013","bgkq-0013-siro-dd-hoang-kim-thung-6chai.webp","catalog/hung-phat/v2/products/bgkq-0013.webp","card","LOW_RES","exact"
"siro-douxian-2l-hoang-kim-bgkq-0014","bgkq-0014","bgkq-0014-siro-douxian-2l-hoang-kim-thung-6-chai.webp","catalog/hung-phat/v2/products/bgkq-0014.webp","card","OK","exact"
"sinh-to-berrino-dau-bgkq-0015","bgkq-0015","bgkq-0015-sinh-to-berrino-dau-thung12-chai.webp","","card","MISSING","missing"
"sinh-to-berrino-dao-bgkq-0016","bgkq-0016","bgkq-0016-sinh-to-berrino-dao-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0016.webp","card","LOW_RES","exact"
"sinh-to-berrino-oi-bgkq-0017","bgkq-0017","bgkq-0017-sinh-to-berrino-oi-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0017.webp","card","LOW_RES","exact"
"sinh-to-berrino-viet-quoc-bgkq-0018","bgkq-0018","bgkq-0018-sinh-to-berrino-viet-quoc-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0018.webp","card","LOW_RES","exact"
"sinh-to-berrino-chanh-day-bgkq-0019","bgkq-0019","bgkq-0019-sinh-to-berrino-chanh-day-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0019.webp","card","LOW_RES","exact"
"sinh-to-berrino-vai-bgkq-0020","bgkq-0020","bgkq-0020-sinh-to-berrino-vai-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0020.webp","card","LOW_RES","exact"
"sinh-to-berrino-kiwi-bgkq-0021","bgkq-0021","bgkq-0021-sinh-to-berrino-kiwi-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0021.webp","card","LOW_RES","exact"
"sinh-to-berrino-phuc-bon-tu-bgkq-0022","bgkq-0022","bgkq-0022-sinh-to-berrino-phuc-bon-tu-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0022.webp","card","LOW_RES","exact"
"sinh-to-berrino-xoai-bgkq-0023","bgkq-0023","bgkq-0023-sinh-to-berrino-xoai-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0023.webp","card","LOW_RES","exact"
"sinh-to-berrino-nho-bgkq-0024","bgkq-0024","bgkq-0024-sinh-to-berrino-nho-thung12-chai.webp","catalog/hung-phat/v2/products/bgkq-0024.webp","card","LOW_RES","exact"
"sinh-to-berrino-dau-tam-bgkq-0025","bgkq-0025","bgkq-0025-sinh-to-berrino-dau-tam-thung-12-chai.webp","catalog/hung-phat/v2/products/bgkq-0025.webp","card","LOW_RES","exact"
