product_key,option_group,option_value
siro-torani-bgkq-0001,Quy cách,Thùng 12 chai
siro-thai-pixe-bgkq-0002,Quy cách,Thùng 12 chai
siro-thai-dingfong-bgkq-0003,Quy cách,Thùng 12 chai
siro-gold-2l-bgkq-0004,Kích thước,2L
siro-gold-2l-bgkq-0004,Quy cách,Thùng 4 bình
siro-gold-700ml-bgkq-0005,Kích thước,700ML
siro-gold-700ml-bgkq-0005,Quy cách,Thùng 12 chai
siro-gtp-bgkq-0006,Flavor Or Type,khac
siro-gtp-bgkq-0006,Quy cách,Thùng 6 bình
siro-gtp-bgkq-0006,Sell Unit,Chai
siro-gtp-dau-duong-den-bgkq-0007,Flavor Or Type,dau duong den
siro-gtp-dau-duong-den-bgkq-0007,Quy cách,Thùng 6chai
siro-vina-bgkq-0008,Vị,khac
siro-vina-bgkq-0008,Quy cách,Thùng 12 chai
siro-sam-dua-vina-bgkq-0009,Vị,sam-dua
siro-sam-dua-vina-bgkq-0009,Quy cách,Thùng 12 chai
siro-carisa-bgkq-0010,Quy cách,Thùng 24 chai
siro-changthai-bgkq-0011,Quy cách,Thùng 12 chai
siro-douxian-2l-tron-bgkq-0012,Quy cách,Thùng 6 chai
siro-dd-hoang-kim-bgkq-0013,Quy cách,Thùng 6chai
siro-douxian-2l-hoang-kim-bgkq-0014,Quy cách,Thùng 6 chai
sinh-to-berrino-dau-bgkq-0015,Vị,dau
sinh-to-berrino-dau-bgkq-0015,Quy cách,Thùng12 chai
sinh-to-berrino-dao-bgkq-0016,Vị,dao
sinh-to-berrino-dao-bgkq-0016,Quy cách,Thùng12 chai
sinh-to-berrino-oi-bgkq-0017,Vị,oi
sinh-to-berrino-oi-bgkq-0017,Quy cách,Thùng12 chai
sinh-to-berrino-viet-quoc-bgkq-0018,Vị,viet quoc
sinh-to-berrino-viet-quoc-bgkq-0018,Quy cách,Thùng12 chai
sinh-to-berrino-chanh-day-bgkq-0019,Vị,chanh day
sinh-to-berrino-chanh-day-bgkq-0019,Quy cách,Thùng12 chai
sinh-to-berrino-vai-bgkq-0020,Vị,vai
sinh-to-berrino-vai-bgkq-0020,Quy cách,Thùng12 chai
sinh-to-berrino-kiwi-bgkq-0021,Vị,kiwi
sinh-to-berrino-kiwi-bgkq-0021,Quy cách,Thùng12 chai
sinh-to-berrino-phuc-bon-tu-bgkq-0022,Vị,phuc bon tu
sinh-to-berrino-phuc-bon-tu-bgkq-0022,Quy cách,Thùng12 chai
sinh-to-berrino-xoai-bgkq-0023,Vị,xoai
sinh-to-berrino-xoai-bgkq-0023,Quy cách,Thùng12 chai
sinh-to-berrino-nho-bgkq-0024,Vị,nho
sinh-to-berrino-nho-bgkq-0024,Quy cách,Thùng12 chai
sinh-to-berrino-dau-tam-bgkq-0025,Vị,dau tam
sinh-to-berrino-dau-tam-bgkq-0025,Quy cách,Thùng 12 chai
sinh-to-berino-khom-bgkq-0026,Vị,khom
sinh-to-berino-khom-bgkq-0026,Quy cách,Thung 12 chai
sinh-to-gold-dau-bgkq-0027,Vị,dau
