product_key,variant_key,sku,options_json,price,image_key
siro-torani-bgkq-0001,siro-torani-bgkq-0001-default,BGKQ-0001,"{""package"": ""Thùng 12 chai""}",180000,bgkq-0001
siro-thai-pixe-bgkq-0002,siro-thai-pixe-bgkq-0002-default,BGKQ-0002,"{""package"": ""Thùng 12 chai""}",62000,bgkq-0002
siro-thai-dingfong-bgkq-0003,siro-thai-dingfong-bgkq-0003-default,BGKQ-0003,"{""package"": ""Thùng 12 chai""}",62000,bgkq-0003
siro-gold-2l-bgkq-0004,siro-gold-2l-bgkq-0004-default,BGKQ-0004,"{""package"": ""Thùng 4 bình"", ""size"": ""2L""}",140000,bgkq-0004
siro-gold-700ml-bgkq-0005,siro-gold-700ml-bgkq-0005-default,BGKQ-0005,"{""package"": ""Thùng 12 chai"", ""size"": ""700ML""}",53000,bgkq-0005
siro-gtp-bgkq-0006,siro-gtp-bgkq-0006-default,BGKQ-0006,"{""flavor_or_type"": ""khac"", ""package"": ""Thùng 6 bình"", ""sell_unit"": ""Chai""}",140000,bgkq-0006
siro-gtp-dau-duong-den-bgkq-0007,siro-gtp-dau-duong-den-bgkq-0007-default,BGKQ-0007,"{""flavor_or_type"": ""dau duong den"", ""package"": ""Thùng 6chai""}",146000,bgkq-0007
siro-vina-bgkq-0008,siro-vina-bgkq-0008-default,BGKQ-0008,"{""flavor"": ""khac"", ""package"": ""Thùng 12 chai""}",40000,bgkq-0008
siro-sam-dua-vina-bgkq-0009,siro-sam-dua-vina-bgkq-0009-default,BGKQ-0009,"{""flavor"": ""sam-dua"", ""package"": ""Thùng 12 chai""}",25000,bgkq-0009
siro-carisa-bgkq-0010,siro-carisa-bgkq-0010-default,BGKQ-0010,"{""package"": ""Thùng 24 chai""}",30000,bgkq-0010
siro-changthai-bgkq-0011,siro-changthai-bgkq-0011-default,BGKQ-0011,"{""package"": ""Thùng 12 chai""}",57000,bgkq-0011
siro-douxian-2l-tron-bgkq-0012,siro-douxian-2l-tron-bgkq-0012-default,BGKQ-0012,"{""package"": ""Thùng 6 chai""}",126000,bgkq-0012
siro-dd-hoang-kim-bgkq-0013,siro-dd-hoang-kim-bgkq-0013-default,BGKQ-0013,"{""package"": ""Thùng 6chai""}",126000,bgkq-0013
siro-douxian-2l-hoang-kim-bgkq-0014,siro-douxian-2l-hoang-kim-bgkq-0014-default,BGKQ-0014,"{""package"": ""Thùng 6 chai""}",85000,bgkq-0014
sinh-to-berrino-dau-bgkq-0015,sinh-to-berrino-dau-bgkq-0015-default,BGKQ-0015,"{""flavor"": ""dau"", ""package"": ""Thùng12 chai""}",89000,bgkq-0015
sinh-to-berrino-dao-bgkq-0016,sinh-to-berrino-dao-bgkq-0016-default,BGKQ-0016,"{""flavor"": ""dao"", ""package"": ""Thùng12 chai""}",91000,bgkq-0016
sinh-to-berrino-oi-bgkq-0017,sinh-to-berrino-oi-bgkq-0017-default,BGKQ-0017,"{""flavor"": ""oi"", ""package"": ""Thùng12 chai""}",111000,bgkq-0017
sinh-to-berrino-viet-quoc-bgkq-0018,sinh-to-berrino-viet-quoc-bgkq-0018-default,BGKQ-0018,"{""flavor"": ""viet quoc"", ""package"": ""Thùng12 chai""}",123000,bgkq-0018
sinh-to-berrino-chanh-day-bgkq-0019,sinh-to-berrino-chanh-day-bgkq-0019-default,BGKQ-0019,"{""flavor"": ""chanh day"", ""package"": ""Thùng12 chai""}",102000,bgkq-0019
sinh-to-berrino-vai-bgkq-0020,sinh-to-berrino-vai-bgkq-0020-default,BGKQ-0020,"{""flavor"": ""vai"", ""package"": ""Thùng12 chai""}",115000,bgkq-0020
sinh-to-berrino-kiwi-bgkq-0021,sinh-to-berrino-kiwi-bgkq-0021-default,BGKQ-0021,"{""flavor"": ""kiwi"", ""package"": ""Thùng12 chai""}",108000,bgkq-0021
sinh-to-berrino-phuc-bon-tu-bgkq-0022,sinh-to-berrino-phuc-bon-tu-bgkq-0022-default,BGKQ-0022,"{""flavor"": ""phuc bon tu"", ""package"": ""Thùng12 chai""}",114000,bgkq-0022
sinh-to-berrino-xoai-bgkq-0023,sinh-to-berrino-xoai-bgkq-0023-default,BGKQ-0023,"{""flavor"": ""xoai"", ""package"": ""Thùng12 chai""}",91000,bgkq-0023
sinh-to-berrino-nho-bgkq-0024,sinh-to-berrino-nho-bgkq-0024-default,BGKQ-0024,"{""flavor"": ""nho"", ""package"": ""Thùng12 chai""}",108000,bgkq-0024
sinh-to-berrino-dau-tam-bgkq-0025,sinh-to-berrino-dau-tam-bgkq-0025-default,BGKQ-0025,"{""flavor"": ""dau tam"", ""package"": ""Thùng 12 chai""}",103000,bgkq-0025
sinh-to-berino-khom-bgkq-0026,sinh-to-berino-khom-bgkq-0026-default,BGKQ-0026,"{""flavor"": ""khom"", ""package"": ""Thung 12 chai""}",98000,bgkq-0026
sinh-to-gold-dau-bgkq-0027,sinh-to-gold-dau-bgkq-0027-default,BGKQ-0027,"{""flavor"": ""dau"", ""package"": ""Thùng12 chai""}",90000,bgkq-0027
sinh-to-gold-dao-bgkq-0028,sinh-to-gold-dao-bgkq-0028-default,BGKQ-0028,"{""flavor"": ""dao"", ""package"": ""Thùng12 chai""}",95000,bgkq-0028
sinh-to-gold-viet-quoc-bgkq-0029,sinh-to-gold-viet-quoc-bgkq-0029-default,BGKQ-0029,"{""flavor"": ""viet quoc"", ""package"": ""Thùng12 chai""}",125000,bgkq-0029
sinh-to-gold-chanh-day-bgkq-0030,sinh-to-gold-chanh-day-bgkq-0030-default,BGKQ-0030,"{""flavor"": ""chanh day"", ""package"": ""Thùng12 chai""}",105000,bgkq-0030
sinh-to-gold-kiwi-bgkq-0031,sinh-to-gold-kiwi-bgkq-0031-default,BGKQ-0031,"{""flavor"": ""kiwi"", ""package"": ""Thùng12 chai""}",100000,bgkq-0031
sinh-to-gold-phuc-bon-tu-bgkq-0032,sinh-to-gold-phuc-bon-tu-bgkq-0032-default,BGKQ-0032,"{""flavor"": ""phuc bon tu"", ""package"": ""Thùng12 chai""}",120000,bgkq-0032
sinh-to-gold-xoai-bgkq-0033,sinh-to-gold-xoai-bgkq-0033-default,BGKQ-0033,"{""flavor"": ""xoai"", ""package"": ""Thùng12 chai""}",100000,bgkq-0033
